post_id,date,platform,post_category,topic,caption,hashtags,creative_type,assigned_to,status,approval_status,scheduled_time
P001,2026-07-01,LinkedIn,AI Automation,How AI is Transforming Businesses,"AI is helping businesses automate repetitive tasks, improve productivity, and make better decisions. Discover how automation can accelerate business growth.",#TijaratAI #AIAutomation #BusinessGrowth #Innovation,Carousel,Ayesha Khan,Posted,Approved,10:00 AM
P002,2026-07-02,Instagram,Product Demo,AI Social Media Automation Demo,"See how our AI-powered workflow generates captions, manages approvals, and prepares posts for publishing in minutes.",#TijaratAI #SocialMediaAutomation #AI,Reel,Bilal Ahmed,Posted,Approved,6:00 PM
P003,2026-07-03,Facebook,Business Education,Why Small Businesses Need Automation,"Automation helps small businesses save time, reduce manual work, and focus on growth instead of repetitive tasks.",#BusinessAutomation #TijaratAI,Single Image,Zara Ali,Posted,Approved,5:30 PM
P004,2026-07-04,LinkedIn,Startup Tips,Scaling Your Startup with AI,"Growing startups need scalable solutions. AI tools help teams manage content, customer support, and analytics efficiently.",#Startup #ArtificialIntelligence #TijaratAI,Carousel,Hassan Raza,Posted,Approved,11:00 AM
P005,2026-07-05,Instagram,Internship,Join the Tijarat AI Internship Program,"Ready to gain hands-on experience in AI, automation, and software development? Applications are now open.",#Internship #TijaratAI #Students,Carousel,Noor Fatima,Posted,Approved,7:00 PM
P006,2026-07-06,Facebook,Company Update,New AI Features Released,"We've launched new automation features designed to simplify social media management for businesses.",#CompanyUpdate #Automation #TijaratAI,Single Image,Ayesha Khan,Scheduled,Approved,4:00 PM
P007,2026-07-07,Instagram,AI Tips,5 Ways AI Saves Time,"From caption generation to scheduling posts, AI helps marketing teams accomplish more in less time.",#AITips #Marketing #Automation,Carousel,Bilal Ahmed,Scheduled,Approved,6:30 PM
P008,2026-07-08,LinkedIn,Case Study,Helping Businesses Grow with Automation,"Discover how automation reduced manual workload and improved productivity for growing businesses.",#CaseStudy #Automation #BusinessGrowth,Carousel,Zara Ali,Scheduled,Approved,10:30 AM
P009,2026-07-09,Facebook,Product Demo,Content Approval Workflow,"Our approval workflow ensures every post is reviewed before publishing, keeping your brand consistent.",#Workflow #Approval #TijaratAI,Single Image,Hassan Raza,Scheduled,Approved,5:00 PM
P010,2026-07-10,Instagram,Business Education,Content Planning Made Easy,"Plan weeks of social media content with calendars, AI captions, and analytics in one place.",#ContentMarketing #TijaratAI,Carousel,Noor Fatima,Scheduled,Approved,7:00 PM
P011,2026-07-11,LinkedIn,Company Culture,Meet the Development Team,"Meet the talented developers building AI-powered automation tools that help businesses succeed.",#Team #Innovation #TijaratAI,Carousel,Ayesha Khan,Approved,Approved,10:00 AM
P012,2026-07-12,Instagram,AI Automation,Automate Your Social Media,"Generate captions, schedule posts, and monitor performance automatically using AI-powered tools.",#Automation #AI #Marketing,Carousel,Bilal Ahmed,Approved,Approved,6:00 PM
P013,2026-07-13,Facebook,Business Education,Benefits of AI Marketing,"AI allows businesses to personalize campaigns, improve engagement, and increase efficiency.",#DigitalMarketing #AI #Business,Single Image,Zara Ali,Approved,Approved,5:30 PM
P014,2026-07-14,Instagram,Product Demo,Dashboard Walkthrough,"Take a quick tour of our AI dashboard and discover how easy content management can be.",#Dashboard #Automation #Demo,Reel,Hassan Raza,Designed,Pending,7:30 PM
P015,2026-07-15,LinkedIn,Startup Tips,Building Better Workflows,"Smart workflows reduce repetitive work and allow teams to focus on strategic goals.",#Productivity #AI #Workflow,Single Image,Noor Fatima,Designed,Pending,11:00 AM
P016,2026-07-16,Instagram,Internship,Intern Success Stories,"Hear from interns who built real AI automation projects during their internship experience.",#Internship #Students #Career,Carousel,Ayesha Khan,Designed,Needs Revision,6:00 PM
